	precision	recall	f1-score	support
avyayībhāvaḥ-1	0.0000	0.0000	0.0000	13.0000
avyayībhāvaḥ-2	0.0000	0.0000	0.0000	2.0000
avyayībhāvaḥ-3	0.0000	0.0000	0.0000	1.0000
avyayībhāvaḥ-6	0.0000	0.0000	0.0000	3.0000
avyayībhāvaḥ-7	0.0000	0.0000	0.0000	2.0000
bahuvrīhiḥ	0.2258	0.3500	0.2745	20.0000
caturthī-tatpuruṣaḥ	0.8750	1.0000	0.9333	7.0000
dvigu-tatpuruṣaḥ	0.1667	0.1429	0.1538	7.0000
dvitīyā-tatpuruṣaḥ	0.6667	0.8000	0.7273	20.0000
karmadhārayaḥ	1.0000	0.7143	0.8333	7.0000
karmadhārayaḥ-1	0.5484	0.6296	0.5862	27.0000
karmadhārayaḥ-2	1.0000	0.3750	0.5455	48.0000
karmadhārayaḥ-3	1.0000	0.5000	0.6667	2.0000
karmadhārayaḥ-4	0.0000	0.0000	0.0000	3.0000
karmadhārayaḥ-5	1.0000	1.0000	1.0000	6.0000
nañ-tatpuruṣaḥ	0.4000	1.0000	0.5714	2.0000
pañcamī-tatpuruṣaḥ	0.7143	0.7143	0.7143	14.0000
prathamā-tatpuruṣaḥ	1.0000	1.0000	1.0000	2.0000
saptamī-tatpuruṣaḥ	0.9130	0.8400	0.8750	25.0000
tatpuruṣaḥ	0.6939	0.5397	0.6071	63.0000
tṛtīyā-tatpuruṣaḥ	0.8000	0.5714	0.6667	21.0000
upapada-tatpuruṣaḥ	1.0000	1.0000	1.0000	2.0000
ṣaṣṭhī-tatpuruṣaḥ	0.3200	0.7619	0.4507	21.0000
micro avg	0.6062	0.5566	0.5803	318.0000
macro avg	0.5358	0.5191	0.5046	318.0000
weighted avg	0.6535	0.5566	0.5709	318.0000
